,value,geo_id
Isle of Anglesey ,97.309923,W06000001 
Gwynedd ,47.008386,W06000002
Conwy ,101.62348,W06000003
Denbighshire ,116.087878,W06000004
Flintshire ,354.254892,W06000005
Wrexham ,270.258253,W06000006
Powys ,25.950114,W06000023
Ceredigion ,40.924815,W06000008
Pembrokeshire ,77.243138,W06000009
Carmarthenshire ,80.194445,W06000010
Swansea ,653.423002,W06000011
Neath Port Talbot ,323.852195,W06000012
Bridgend ,585.133744,W06000013
Vale of Glamorgan ,406.865556,W06000014
Cardiff ,2721.765838,W06000015
Rhondda Cynon Taf ,568.614743,W06000016
Merthyr Tydfil ,525.751439,W06000017
Caerphilly ,636.066415,W06000018
Blaenau Gwent ,619.49084,W06000019
Torfaen ,743.199595,W06000020
Monmouthshire ,111.373323,W06000021
Newport ,859.249955,W06000022